QUEST,option1,option2,option3,option4,option5,answer,,,,,Options,Answers,Questions
"What will come in place of question mark (?) in the following number series?

0.8, 4.6, 14, 49, ?, 709",145,213,176,209,311,3,[,",","""",],"[""145"",""213"",""176"",""209"",""311""]",2,"""What will come in place of question mark (?) in the following number series?

0.8, 4.6, 14, 49, ?, 709"""
"What will come in place of question mark (?) in the following number series?

125, ?, 195, 250, 321, 410",154,149,136,165,175,1,,,,,"[""154"",""149"",""136"",""165"",""175""]",0,"""What will come in place of question mark (?) in the following number series?

125, ?, 195, 250, 321, 410"""
"What will come in place of question mark (?) in the following number series?

130, 222, 350, 520, 738, ?",944,1024,1010,850,1244,3,,,,,"[""944"",""1024"",""1010"",""850"",""1244""]",2,"""What will come in place of question mark (?) in the following number series?

130, 222, 350, 520, 738, ?"""
"What will come in place of question mark (?) in the following number series?

5, 9, 25, 89, ?",214,320,284,312,345,5,,,,,"[""214"",""320"",""284"",""312"",""345""]",4,"""What will come in place of question mark (?) in the following number series?

5, 9, 25, 89, ?"""
"What will come in place of question mark (?) in the following number series?

748, 627, ?, ­946, ­2882, ­5907",134,143,124,143,None of these,4,,,,,"[""134"",""143"",""124"",""143"",""None of these""]",3,"""What will come in place of question mark (?) in the following number series?

748, 627, ?, ­946, ­2882, ­5907"""
"A man deposited a total amount of Rs 25300 with a bank in two different schemes at 20% per annum interest being compounded annually. As per the schemes, he gets the same amount after 4 years on the first deposit as he gets after 3 years on the second deposit. How much money did he deposit for 4 years?","12,000","15,450","16,620","14,440","13,800",5,,,,,"[""12000"",""15450"",""16620"",""14440"",""13800""]",4,"""A man deposited a total amount of Rs 25300 with a bank in two different schemes at 20% per annum interest being compounded annually. As per the schemes, he gets the same amount after 4 years on the first deposit as he gets after 3 years on the second deposit. How much money did he deposit for 4 years?"""
A wire is looped in the form of a circle of diameter 28cm. It is re bent in a shape of a square. Find the area of the square,400 cm^2,484 cm^2,961 cm^2,983 cm^2,474 cm^2,2,,,,,"[""400 cm^2"",""484 cm^2"",""961 cm^2"",""983 cm^2"",""474 cm^2""]",1,"""A wire is looped in the form of a circle of diameter 28cm. It is re bent in a shape of a square. Find the area of the square"""
"Ankush and Pritam can do a work in 12 days while Preetam and Ashwini can complete the same work in 10 days. Preetam is 20% less efficient than Ashwini, then in how many days will all the three working together will complete the same work?",7.5 days,7.2 days,8.5 days,9 days,9.2 days,2,,,,,"[""7.5 days"",""7.2 days"",""8.5 days"",""9 days"",""9.2 days""]",1,"""Ankush and Pritam can do a work in 12 days while Preetam and Ashwini can complete the same work in 10 days. Preetam is 20% less efficient than Ashwini, then in how many days will all the three working together will complete the same work?"""
One card is drawn at random from a pack of 52 cards. What is the probability that the card drawn is either a black card or queen card.,May-18,Jul-13,02-Sep,15/26,Sep-26,2,,,,,"[""44334"",""44390"",""44441"",""15/26"",""44465""]",1,"""One card is drawn at random from a pack of 52 cards. What is the probability that the card drawn is either a black card or queen card."""
In two alloys A and B the ratio of zinc to Copper is is 4 : 5 and 2 : 7 respectively. 18 kg of alloy A and 45 kg of the alloy B are mixed together to form a new alloy. What will be the ratio of zinc and copper in the new alloy?,4:05,2:05,3:07,2:03,5:04,2,,,,,"[""0.170138888888889"",""0.0868055555555556"",""0.129861111111111"",""0.0854166666666667"",""0.211111111111111""]",1,"""In two alloys A and B the ratio of zinc to Copper is is 4 : 5 and 2 : 7 respectively. 18 kg of alloy A and 45 kg of the alloy B are mixed together to form a new alloy. What will be the ratio of zinc and copper in the new alloy?"""
"Study the following table to answer the question below. In the following line graph show the scored runs by a batsman in 7 one day matches in three series.
For every match in which the batsman scored more than 50 runs, that team won the match. What is the percentage (approx.) of matches won by the team in all the three series taken together?",85%,90%,80%,75%,Cannot be determined,5,,,,,"[""0.85"",""0.9"",""0.8"",""0.75"",""Cannot be determined""]",4,"""Study the following table to answer the question below. In the following line graph show the scored runs by a batsman in 7 one day matches in three series.
For every match in which the batsman scored more than 50 runs, that team won the match. What is the percentage (approx.) of matches won by the team in all the three series taken together?"""
In how many ODI of series 2 to the number of runs scored is more than the average Run scored in the series 2?,1,2,3,4,5,2,,,,,"[""1"",""2"",""3"",""4"",""5""]",1,"""In how many ODI of series 2 to the number of runs scored is more than the average Run scored in the series 2?"""
In which ODI the difference between the runs scored in series 1 and series 3 is minimum?,ODI 1,ODI 2,ODI 4,ODI 3,ODI 5,4,,,,,"[""ODI 1"",""ODI 2"",""ODI 4"",""ODI 3"",""ODI 5""]",3,"""In which ODI the difference between the runs scored in series 1 and series 3 is minimum?"""
Average runs scored by the batsman in series 3 are approximately what percent of the average runs scored by the batsman in series2?,90%,93%,95%,97%,99%,2,,,,,"[""0.9"",""0.93"",""0.95"",""0.97"",""0.99""]",1,"""Average runs scored by the batsman in series 3 are approximately what percent of the average runs scored by the batsman in series2?"""
